track_id,name,artist,genre,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,album_cover_url
6hTcuIQa0sxrrByu9wTD7s,Born to Run,Bruce Springsteen,rock,1975-08-25,0.27,0.944,4,-4.199,1,0.0975,0.0050100000000000006,2.05e-05,0.116,0.606,146.347,4,269920,https://i.scdn.co/image/ab67616d0000b273503143a281a3f30268dcd9f9
2qJkesdHu9sMMVFgkRkqhQ,Angel,Theory of a Deadman,rock,2014-07-08,0.443,0.8440000000000001,11,-5.414,0,0.0425,0.00251,0.0,0.085,0.452,76.001,4,202213,https://i.scdn.co/image/ab67616d0000b273fe40036b3c09a151b9b2ccc4
3fkPMWQ6cBNBLuFcPyMS8s,Burnin' for You,Blue Öyster Cult,rock,1981-10-23,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,4,271000,https://i.scdn.co/image/ab67616d0000b2736895da04b237964b95c2a166
2URDbWGmPz3vhagl25p8OC,Tranquility Base Hotel & Casino,Arctic Monkeys,rock,2018-05-10,0.584,0.835,9,-4.3260000000000005,0,0.0297,0.0411,0.0147,0.199,0.7809999999999999,142.2,4,212093,https://i.scdn.co/image/ab67616d0000b2738895ff0f90525f4aa9437c27
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,rock,1999-06-08,0.5920000000000001,0.767,9,-2.7880000000000003,0,0.027000000000000003,0.0021,0.00165,0.127,0.328,96.483,4,329733,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
2VN7uPrbryJ7nE2MXX3f9a,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,rock,1993-01-01,0.652,0.609,9,-9.684,0,0.028,0.298,8.79e-06,0.0573,0.6459999999999999,98.125,4,230107,https://i.scdn.co/image/ab67616d0000b2734ea1fd36ef7d78214011371c
11FvComd16zZX61DrlP3o1,Do Your Worst,Rival Sons,rock,2018-09-14,0.391,0.8,2,-2.761,1,0.0523,0.00977,3.08e-06,0.329,0.398,83.81,4,210851,https://i.scdn.co/image/ab67616d0000b2730d7556aa5e57e36b7e5e1294
1fnULsZuORnAgCFFbM8nTZ,State of My Head,Shinedown,rock,2015-09-18,0.486,0.94,7,-4.237,0,0.0605,0.00919,0.0,0.0777,0.42,79.727,4,205653,https://i.scdn.co/image/ab67616d0000b2737b6fda92d5912fef92f373de
3pO37BXsjMC2wApALxGbuB,Wasteland,10 Years,rock,2005-01-01,0.409,0.7829999999999999,6,-5.083,0,0.0731,0.000422,0.000354,0.0664,0.313,145.541,4,229867,https://i.scdn.co/image/ab67616d0000b27366812882de8214e916e4d9d1
0oF3DPMcjAw9P4vlyp0reZ,Feed the Machine,Nickelback,rock,2017-06-16,0.547,0.962,5,-4.268,1,0.104,6.97e-06,0.0016699999999999998,0.449,0.381,136.005,4,302135,https://i.scdn.co/image/ab67616d0000b2732e4fab391ab6c2364a5155de
